file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,170.78,FastJet,Kt,N2Plain,2.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,236.77,FastJet,Kt,N2Plain,2.0
events-pp-1TeV.hepmc3.gz,226.98,16,308.11,FastJet,Kt,N2Plain,2.0
events-pp-2TeV.hepmc3.gz,226.98,16,308.24,FastJet,Kt,N2Plain,2.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,471.82,FastJet,Kt,N2Plain,2.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,711.86,FastJet,Kt,N2Plain,2.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1000.13,FastJet,Kt,N2Plain,2.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1428.83,FastJet,Kt,N2Plain,2.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1605.55,FastJet,Kt,N2Plain,2.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,2018.76,FastJet,Kt,N2Plain,2.0
events-ee-Z.hepmc3.gz,43.05,16,24.957690000000003,Julia,AntiKt,N2Tiled,0.4
events-ee-H.hepmc3.gz,64.97,16,41.874660000000006,Julia,AntiKt,N2Tiled,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,46.49398,Julia,AntiKt,N2Tiled,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,71.05983,Julia,AntiKt,N2Tiled,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,87.34844000000001,Julia,AntiKt,N2Tiled,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,117.67784999999999,Julia,AntiKt,N2Tiled,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,117.31447,Julia,AntiKt,N2Tiled,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,154.82088,Julia,AntiKt,N2Tiled,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,223.97265,Julia,AntiKt,N2Tiled,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,294.98690000000005,Julia,AntiKt,N2Tiled,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,409.66585,Julia,AntiKt,N2Tiled,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,468.14621,Julia,AntiKt,N2Tiled,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,558.02556,Julia,AntiKt,N2Tiled,0.4
events-ee-Z.hepmc3.gz,43.05,16,22.77,FastJet,Kt,N2Plain,0.4
events-ee-H.hepmc3.gz,64.97,16,38.92,FastJet,Kt,N2Plain,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,257.47,FastJet,Kt,N2Plain,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,485.36,FastJet,Kt,N2Plain,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,680.48,FastJet,Kt,N2Plain,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,809.18,FastJet,Kt,N2Plain,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,808.99,FastJet,Kt,N2Plain,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,1319.68,FastJet,Kt,N2Plain,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,1863.37,FastJet,Kt,N2Plain,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,2603.94,FastJet,Kt,N2Plain,0.4
