file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-1TeV.hepmc3.gz,226.98,16,1651.87,FastJet,CA,N2Plain,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,1648.47,FastJet,CA,N2Plain,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,2979.42,FastJet,CA,N2Plain,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,4276.3,FastJet,CA,N2Plain,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,6548.76,FastJet,CA,N2Plain,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,8988.46,FastJet,CA,N2Plain,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,8663.27,FastJet,CA,N2Plain,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,11384.7,FastJet,CA,N2Plain,0.4
events-ee-Z.hepmc3.gz,43.05,16,31.12,FastJet,CA,N2Plain,2.0
events-ee-H.hepmc3.gz,64.97,16,57.0,FastJet,CA,N2Plain,2.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,142.67,FastJet,CA,N2Plain,2.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,261.84,FastJet,CA,N2Plain,2.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,369.86,FastJet,CA,N2Plain,2.0
events-pp-1TeV.hepmc3.gz,226.98,16,489.23,FastJet,CA,N2Plain,2.0
events-pp-2TeV.hepmc3.gz,226.98,16,489.14,FastJet,CA,N2Plain,2.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,761.47,FastJet,CA,N2Plain,2.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,1168.93,FastJet,CA,N2Plain,2.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1666.19,FastJet,CA,N2Plain,2.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,2412.85,FastJet,CA,N2Plain,2.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,2742.36,FastJet,CA,N2Plain,2.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,3460.98,FastJet,CA,N2Plain,2.0
events-ee-Z.hepmc3.gz,43.05,16,36.101530000000004,Julia,Kt,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,60.7946,Julia,Kt,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,129.18791000000002,Julia,Kt,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,208.34509000000003,Julia,Kt,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,270.33269,Julia,Kt,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,355.23177000000004,Julia,Kt,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,353.60844,Julia,Kt,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,492.72143000000005,Julia,Kt,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,723.76568,Julia,Kt,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,997.00084,Julia,Kt,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1372.3329899999999,Julia,Kt,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1587.2484900000002,Julia,Kt,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1932.82421,Julia,Kt,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,29.85,FastJet,CA,N2Tiled,1.0
events-ee-H.hepmc3.gz,64.97,16,48.53,FastJet,CA,N2Tiled,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,79.53,FastJet,CA,N2Tiled,1.0
