file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-ee-200.hepmc3.gz,55.9,16,22.660999999999998,Julia,EEKt,Best,1.5,1.0
events-ee-230.hepmc3.gz,60.82,16,24.81311,Julia,EEKt,Best,1.5,1.0
events-ee-H.hepmc3.gz,64.97,16,27.867420000000003,Julia,EEKt,Best,1.5,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.66577,Julia,EEKt,Best,1.0,-1.0
events-ee-120.hepmc3.gz,47.08,16,17.01206,Julia,EEKt,Best,1.0,-1.0
events-ee-150.hepmc3.gz,51.57,16,18.67305,Julia,EEKt,Best,1.0,-1.0
events-ee-200.hepmc3.gz,55.9,16,21.640700000000002,Julia,EEKt,Best,1.0,-1.0
events-ee-230.hepmc3.gz,60.82,16,23.30931,Julia,EEKt,Best,1.0,-1.0
events-ee-H.hepmc3.gz,64.97,16,25.92499,Julia,EEKt,Best,1.0,-1.0
events-ee-Z.hepmc3.gz,43.05,16,18.37,FastJet,EEKt,Best,0.4,0.0
events-ee-120.hepmc3.gz,47.08,16,19.78,FastJet,EEKt,Best,0.4,0.0
events-ee-150.hepmc3.gz,51.57,16,21.85,FastJet,EEKt,Best,0.4,0.0
events-ee-200.hepmc3.gz,55.9,16,24.15,FastJet,EEKt,Best,0.4,0.0
events-ee-230.hepmc3.gz,60.82,16,26.23,FastJet,EEKt,Best,0.4,0.0
events-ee-H.hepmc3.gz,64.97,16,28.43,FastJet,EEKt,Best,0.4,0.0
events-ee-Z.hepmc3.gz,43.05,16,20.39,FastJet,EEKt,Best,4.0,1.0
events-ee-120.hepmc3.gz,47.08,16,23.25,FastJet,EEKt,Best,4.0,1.0
events-ee-150.hepmc3.gz,51.57,16,26.14,FastJet,EEKt,Best,4.0,1.0
events-ee-200.hepmc3.gz,55.9,16,29.52,FastJet,EEKt,Best,4.0,1.0
events-ee-230.hepmc3.gz,60.82,16,33.11,FastJet,EEKt,Best,4.0,1.0
events-ee-H.hepmc3.gz,64.97,16,36.64,FastJet,EEKt,Best,4.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.098020000000002,Julia,EEKt,Best,1.0,0.0
events-ee-120.hepmc3.gz,47.08,16,17.04651,Julia,EEKt,Best,1.0,0.0
events-ee-150.hepmc3.gz,51.57,16,17.80614,Julia,EEKt,Best,1.0,0.0
events-ee-200.hepmc3.gz,55.9,16,21.157690000000002,Julia,EEKt,Best,1.0,0.0
events-ee-230.hepmc3.gz,60.82,16,22.651889999999998,Julia,EEKt,Best,1.0,0.0
events-ee-H.hepmc3.gz,64.97,16,25.77522,Julia,EEKt,Best,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,23.67,FastJet,EEKt,Best,0.2,-1.0
events-ee-120.hepmc3.gz,47.08,16,23.23,FastJet,EEKt,Best,0.2,-1.0
events-ee-150.hepmc3.gz,51.57,16,25.53,FastJet,EEKt,Best,0.2,-1.0
events-ee-200.hepmc3.gz,55.9,16,26.04,FastJet,EEKt,Best,0.2,-1.0
events-ee-230.hepmc3.gz,60.82,16,27.48,FastJet,EEKt,Best,0.2,-1.0
events-ee-H.hepmc3.gz,64.97,16,29.59,FastJet,EEKt,Best,0.2,-1.0
events-ee-Z.hepmc3.gz,43.05,16,22.47,FastJet,EEKt,Best,0.2,0.0
events-ee-120.hepmc3.gz,47.08,16,22.44,FastJet,EEKt,Best,0.2,0.0
events-ee-150.hepmc3.gz,51.57,16,25.01,FastJet,EEKt,Best,0.2,0.0
events-ee-200.hepmc3.gz,55.9,16,25.94,FastJet,EEKt,Best,0.2,0.0
events-ee-230.hepmc3.gz,60.82,16,27.54,FastJet,EEKt,Best,0.2,0.0
events-ee-H.hepmc3.gz,64.97,16,29.7,FastJet,EEKt,Best,0.2,0.0
events-ee-Z.hepmc3.gz,43.05,16,18.05,FastJet,EEKt,Best,0.4,1.0
events-ee-120.hepmc3.gz,47.08,16,19.51,FastJet,EEKt,Best,0.4,1.0
events-ee-150.hepmc3.gz,51.57,16,21.37,FastJet,EEKt,Best,0.4,1.0
events-ee-200.hepmc3.gz,55.9,16,23.62,FastJet,EEKt,Best,0.4,1.0
events-ee-230.hepmc3.gz,60.82,16,25.76,FastJet,EEKt,Best,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,27.98,FastJet,EEKt,Best,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.759649999999999,Julia,EEKt,Best,1.5,0.0
