file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-ee-Z.hepmc3.gz,43.05,16,11.8225,Julia,AntiKt,N2Plain,1.5
events-ee-H.hepmc3.gz,64.97,16,23.5175,Julia,AntiKt,N2Plain,1.5
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,57.05625,Julia,AntiKt,N2Plain,1.5
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,108.54167,Julia,AntiKt,N2Plain,1.5
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,156.58209,Julia,AntiKt,N2Plain,1.5
events-pp-1TeV.hepmc3.gz,226.98,16,209.50166000000002,Julia,AntiKt,N2Plain,1.5
events-pp-2TeV.hepmc3.gz,226.98,16,210.85541,Julia,AntiKt,N2Plain,1.5
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,333.83457999999996,Julia,AntiKt,N2Plain,1.5
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,524.8125,Julia,AntiKt,N2Plain,1.5
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,752.75083,Julia,AntiKt,N2Plain,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1098.55125,Julia,AntiKt,N2Plain,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1242.2575,Julia,AntiKt,N2Plain,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1576.58375,Julia,AntiKt,N2Plain,1.5
events-ee-Z.hepmc3.gz,43.05,16,16.00583,Julia,AntiKt,N2Tiled,0.4
events-ee-H.hepmc3.gz,64.97,16,27.571669999999997,Julia,AntiKt,N2Tiled,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,28.93334,Julia,AntiKt,N2Tiled,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,45.29875,Julia,AntiKt,N2Tiled,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,56.97833000000001,Julia,AntiKt,N2Tiled,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,78.37333000000001,Julia,AntiKt,N2Tiled,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,77.71125,Julia,AntiKt,N2Tiled,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,98.47833,Julia,AntiKt,N2Tiled,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,140.71583,Julia,AntiKt,N2Tiled,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,183.11167,Julia,AntiKt,N2Tiled,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,238.86375,Julia,AntiKt,N2Tiled,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,267.48375,Julia,AntiKt,N2Tiled,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,313.81208000000004,Julia,AntiKt,N2Tiled,0.4
events-ee-Z.hepmc3.gz,43.05,16,13.55,FastJet,AntiKt,N2Plain,1.0
events-ee-H.hepmc3.gz,64.97,16,23.96,FastJet,AntiKt,N2Plain,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,54.52,FastJet,AntiKt,N2Plain,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,96.04,FastJet,AntiKt,N2Plain,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,133.06,FastJet,AntiKt,N2Plain,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,174.41,FastJet,AntiKt,N2Plain,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,174.81,FastJet,AntiKt,N2Plain,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,264.47,FastJet,AntiKt,N2Plain,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,397.82,FastJet,AntiKt,N2Plain,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,558.39,FastJet,AntiKt,N2Plain,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,794.16,FastJet,AntiKt,N2Plain,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,898.25,FastJet,AntiKt,N2Plain,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1126.16,FastJet,AntiKt,N2Plain,1.0
events-ee-Z.hepmc3.gz,43.05,16,13.64,FastJet,Kt,N2Plain,1.0
events-ee-H.hepmc3.gz,64.97,16,24.23,FastJet,Kt,N2Plain,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,55.92,FastJet,Kt,N2Plain,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,99.46,FastJet,Kt,N2Plain,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,138.85,FastJet,Kt,N2Plain,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,182.37,FastJet,Kt,N2Plain,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,182.37,FastJet,Kt,N2Plain,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,280.08,FastJet,Kt,N2Plain,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,423.84,FastJet,Kt,N2Plain,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,596.18,FastJet,Kt,N2Plain,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,850.77,FastJet,Kt,N2Plain,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,961.36,FastJet,Kt,N2Plain,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1211.82,FastJet,Kt,N2Plain,1.0
events-ee-Z.hepmc3.gz,43.05,16,12.01417,Julia,AntiKt,N2Plain,3.0
events-ee-H.hepmc3.gz,64.97,16,22.99333,Julia,AntiKt,N2Plain,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,55.37708000000001,Julia,AntiKt,N2Plain,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,107.82125,Julia,AntiKt,N2Plain,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,154.28375,Julia,AntiKt,N2Plain,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,206.39083,Julia,AntiKt,N2Plain,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,205.53207999999998,Julia,AntiKt,N2Plain,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,328.65958,Julia,AntiKt,N2Plain,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,513.71792,Julia,AntiKt,N2Plain,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,737.88833,Julia,AntiKt,N2Plain,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1068.04875,Julia,AntiKt,N2Plain,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1222.35834,Julia,AntiKt,N2Plain,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1536.73375,Julia,AntiKt,N2Plain,3.0
events-ee-Z.hepmc3.gz,43.05,16,20.43166,Julia,Kt,N2Tiled,1.0
events-ee-H.hepmc3.gz,64.97,16,33.6625,Julia,Kt,N2Tiled,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,54.99792,Julia,Kt,N2Tiled,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,84.14416000000001,Julia,Kt,N2Tiled,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,101.98334000000001,Julia,Kt,N2Tiled,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,133.06833,Julia,Kt,N2Tiled,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,133.06334,Julia,Kt,N2Tiled,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,170.07,Julia,Kt,N2Tiled,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,229.70583,Julia,Kt,N2Tiled,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,294.41333000000003,Julia,Kt,N2Tiled,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,380.26042,Julia,Kt,N2Tiled,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,423.82041,Julia,Kt,N2Tiled,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,494.95167000000004,Julia,Kt,N2Tiled,1.0
events-ee-Z.hepmc3.gz,43.05,16,22.00542,Julia,CA,N2Tiled,1.5
events-ee-H.hepmc3.gz,64.97,16,36.595,Julia,CA,N2Tiled,1.5
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,65.55459,Julia,CA,N2Tiled,1.5
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,100.77167,Julia,CA,N2Tiled,1.5
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,123.25959,Julia,CA,N2Tiled,1.5
events-pp-1TeV.hepmc3.gz,226.98,16,158.22417,Julia,CA,N2Tiled,1.5
events-pp-2TeV.hepmc3.gz,226.98,16,158.28708,Julia,CA,N2Tiled,1.5
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,204.58791000000002,Julia,CA,N2Tiled,1.5
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,281.68833,Julia,CA,N2Tiled,1.5
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,365.91459000000003,Julia,CA,N2Tiled,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,474.17125,Julia,CA,N2Tiled,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,530.44583,Julia,CA,N2Tiled,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,619.53917,Julia,CA,N2Tiled,1.5
events-ee-Z.hepmc3.gz,43.05,16,8.171660000000001,Julia,Kt,N2Plain,0.2
events-ee-H.hepmc3.gz,64.97,16,16.856659999999998,Julia,Kt,N2Plain,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,27.64292,Julia,Kt,N2Plain,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,56.14125,Julia,Kt,N2Plain,0.2
